id,payload,actual,predicted
5,"INSERT INTO orders (user_id, product_id) VALUES (?, ?)",benign,sql_injection
8,UPDATE users SET last_login = CURRENT_TIMESTAMP WHERE id = ?,benign,sql_injection
15,UPDATE users SET last_login = CURRENT_TIMESTAMP WHERE id = ?,benign,sql_injection
20,UPDATE users SET last_login = CURRENT_TIMESTAMP WHERE id = ?,benign,sql_injection
26,UPDATE users SET last_login = CURRENT_TIMESTAMP WHERE id = ?,benign,sql_injection
29,UPDATE users SET last_login = CURRENT_TIMESTAMP WHERE id = ?,benign,sql_injection
36,UPDATE users SET last_login = CURRENT_TIMESTAMP WHERE id = ?,benign,sql_injection
37,UPDATE users SET last_login = CURRENT_TIMESTAMP WHERE id = ?,benign,sql_injection
38,"INSERT INTO orders (user_id, product_id) VALUES (?, ?)",benign,sql_injection
39,UPDATE users SET last_login = CURRENT_TIMESTAMP WHERE id = ?,benign,sql_injection
46,UPDATE users SET last_login = CURRENT_TIMESTAMP WHERE id = ?,benign,sql_injection
47,UPDATE users SET last_login = CURRENT_TIMESTAMP WHERE id = ?,benign,sql_injection
55,"INSERT INTO orders (user_id, product_id) VALUES (?, ?)",benign,sql_injection
58,UPDATE users SET last_login = CURRENT_TIMESTAMP WHERE id = ?,benign,sql_injection
61,' OR 1=1 ORDER BY 1--,sql_injection,benign
62,'; exec xp_cmdshell('net user'); --,sql_injection,benign
63,"' AND 5195=DBMS_PIPE.RECEIVE_MESSAGE(CHR(99)||CHR(72)||CHR(110),5)--",sql_injection,benign
64,"admin' AND 1=CONVERT(int,@@version)--",sql_injection,benign
65,admin' --,sql_injection,benign
66,'; exec xp_cmdshell('net user'); --,sql_injection,benign
67,'; WAITFOR DELAY '0:0:10'--,sql_injection,benign
68,' OR '1'='1,sql_injection,benign
69,')) OR 1=1--,sql_injection,benign
70,' OR 1=1 ORDER BY 1--,sql_injection,benign
71,"admin' AND 1=CONVERT(int,@@version)--",sql_injection,benign
72,'; WAITFOR DELAY '0:0:10'--,sql_injection,benign
73,' OR 1=1 ORDER BY 1--,sql_injection,benign
74,admin' --,sql_injection,benign
75,' OR 1=1 ORDER BY 1--,sql_injection,benign
76,javascript:alert(document.domain),xss,benign
79,javascript:alert(document.domain),xss,benign
83,javascript:alert(document.domain),xss,benign
112,"INSERT INTO orders (user_id, product_id) VALUES (?, ?)",benign,sql_injection
130,"INSERT INTO orders (user_id, product_id) VALUES (?, ?)",benign,sql_injection
142,"INSERT INTO orders (user_id, product_id) VALUES (?, ?)",benign,sql_injection
146,UPDATE users SET last_login = CURRENT_TIMESTAMP WHERE id = ?,benign,sql_injection
147,"INSERT INTO orders (user_id, product_id) VALUES (?, ?)",benign,sql_injection
155,"INSERT INTO orders (user_id, product_id) VALUES (?, ?)",benign,sql_injection
161,admin' --,sql_injection,benign
162,'; WAITFOR DELAY '0:0:10'--,sql_injection,benign
163,"' AND 5195=DBMS_PIPE.RECEIVE_MESSAGE(CHR(99)||CHR(72)||CHR(110),5)--",sql_injection,benign
164,"admin' AND 1=CONVERT(int,@@version)--",sql_injection,benign
165,"admin' AND 1=CONVERT(int,@@version)--",sql_injection,benign
166,"admin' AND 1=CONVERT(int,@@version)--",sql_injection,benign
167,'; WAITFOR DELAY '0:0:10'--,sql_injection,benign
168,"admin' AND 1=CONVERT(int,@@version)--",sql_injection,benign
169,'; WAITFOR DELAY '0:0:10'--,sql_injection,benign
170,admin' --,sql_injection,benign
171,"admin' AND 1=CONVERT(int,@@version)--",sql_injection,benign
172,'; exec xp_cmdshell('net user'); --,sql_injection,benign
173,' OR 1=1 ORDER BY 1--,sql_injection,benign
174,')) OR 1=1--,sql_injection,benign
177,javascript:alert(document.domain),xss,benign
182,javascript:alert(document.domain),xss,benign
203,"INSERT INTO orders (user_id, product_id) VALUES (?, ?)",benign,sql_injection
206,"INSERT INTO orders (user_id, product_id) VALUES (?, ?)",benign,sql_injection
208,UPDATE users SET last_login = CURRENT_TIMESTAMP WHERE id = ?,benign,sql_injection
213,"INSERT INTO orders (user_id, product_id) VALUES (?, ?)",benign,sql_injection
222,UPDATE users SET last_login = CURRENT_TIMESTAMP WHERE id = ?,benign,sql_injection
224,UPDATE users SET last_login = CURRENT_TIMESTAMP WHERE id = ?,benign,sql_injection
231,"INSERT INTO orders (user_id, product_id) VALUES (?, ?)",benign,sql_injection
239,UPDATE users SET last_login = CURRENT_TIMESTAMP WHERE id = ?,benign,sql_injection
244,UPDATE users SET last_login = CURRENT_TIMESTAMP WHERE id = ?,benign,sql_injection
249,UPDATE users SET last_login = CURRENT_TIMESTAMP WHERE id = ?,benign,sql_injection
256,"INSERT INTO orders (user_id, product_id) VALUES (?, ?)",benign,sql_injection
258,UPDATE users SET last_login = CURRENT_TIMESTAMP WHERE id = ?,benign,sql_injection
260,UPDATE users SET last_login = CURRENT_TIMESTAMP WHERE id = ?,benign,sql_injection
261,"' AND 5195=DBMS_PIPE.RECEIVE_MESSAGE(CHR(99)||CHR(72)||CHR(110),5)--",sql_injection,benign
262,'; exec xp_cmdshell('net user'); --,sql_injection,benign
264,admin' --,sql_injection,benign
268,' OR 1=1 ORDER BY 1--,sql_injection,benign
269,' OR 1=1 ORDER BY 1--,sql_injection,benign
270,'; exec xp_cmdshell('net user'); --,sql_injection,benign
271,admin' --,sql_injection,benign
272,'; exec xp_cmdshell('net user'); --,sql_injection,benign
273,' OR '1'='1,sql_injection,benign
275,"admin' AND 1=CONVERT(int,@@version)--",sql_injection,benign
283,javascript:alert(document.domain),xss,benign
312,UPDATE users SET last_login = CURRENT_TIMESTAMP WHERE id = ?,benign,sql_injection
