id,payload,actual,predicted
5,"INSERT INTO orders (user_id, product_id) VALUES (?, ?)",benign,sql_injection
8,UPDATE users SET last_login = CURRENT_TIMESTAMP WHERE id = ?,benign,sql_injection
11,curl -I https://api.example.com/status,benign,cmd_injection
15,UPDATE users SET last_login = CURRENT_TIMESTAMP WHERE id = ?,benign,sql_injection
20,UPDATE users SET last_login = CURRENT_TIMESTAMP WHERE id = ?,benign,sql_injection
21,curl -I https://api.example.com/status,benign,cmd_injection
26,UPDATE users SET last_login = CURRENT_TIMESTAMP WHERE id = ?,benign,sql_injection
27,curl -I https://api.example.com/status,benign,cmd_injection
29,UPDATE users SET last_login = CURRENT_TIMESTAMP WHERE id = ?,benign,sql_injection
36,UPDATE users SET last_login = CURRENT_TIMESTAMP WHERE id = ?,benign,sql_injection
37,UPDATE users SET last_login = CURRENT_TIMESTAMP WHERE id = ?,benign,sql_injection
38,"INSERT INTO orders (user_id, product_id) VALUES (?, ?)",benign,sql_injection
39,UPDATE users SET last_login = CURRENT_TIMESTAMP WHERE id = ?,benign,sql_injection
43,curl -I https://api.example.com/status,benign,cmd_injection
46,UPDATE users SET last_login = CURRENT_TIMESTAMP WHERE id = ?,benign,sql_injection
47,UPDATE users SET last_login = CURRENT_TIMESTAMP WHERE id = ?,benign,sql_injection
50,curl -I https://api.example.com/status,benign,cmd_injection
54,curl -I https://api.example.com/status,benign,cmd_injection
55,"INSERT INTO orders (user_id, product_id) VALUES (?, ?)",benign,sql_injection
58,UPDATE users SET last_login = CURRENT_TIMESTAMP WHERE id = ?,benign,sql_injection
94,|| echo 'evil' > script.sh,cmd_injection,benign
100,& net user administrator /add,cmd_injection,benign
104,curl -I https://api.example.com/status,benign,cmd_injection
105,curl -I https://api.example.com/status,benign,cmd_injection
112,"INSERT INTO orders (user_id, product_id) VALUES (?, ?)",benign,sql_injection
121,curl -I https://api.example.com/status,benign,cmd_injection
122,curl -I https://api.example.com/status,benign,cmd_injection
128,curl -I https://api.example.com/status,benign,cmd_injection
130,"INSERT INTO orders (user_id, product_id) VALUES (?, ?)",benign,sql_injection
138,curl -I https://api.example.com/status,benign,cmd_injection
139,curl -I https://api.example.com/status,benign,cmd_injection
140,curl -I https://api.example.com/status,benign,cmd_injection
142,"INSERT INTO orders (user_id, product_id) VALUES (?, ?)",benign,sql_injection
146,UPDATE users SET last_login = CURRENT_TIMESTAMP WHERE id = ?,benign,sql_injection
147,"INSERT INTO orders (user_id, product_id) VALUES (?, ?)",benign,sql_injection
153,curl -I https://api.example.com/status,benign,cmd_injection
155,"INSERT INTO orders (user_id, product_id) VALUES (?, ?)",benign,sql_injection
197,|| echo 'evil' > script.sh,cmd_injection,benign
203,"INSERT INTO orders (user_id, product_id) VALUES (?, ?)",benign,sql_injection
206,"INSERT INTO orders (user_id, product_id) VALUES (?, ?)",benign,sql_injection
208,UPDATE users SET last_login = CURRENT_TIMESTAMP WHERE id = ?,benign,sql_injection
213,"INSERT INTO orders (user_id, product_id) VALUES (?, ?)",benign,sql_injection
222,UPDATE users SET last_login = CURRENT_TIMESTAMP WHERE id = ?,benign,sql_injection
224,UPDATE users SET last_login = CURRENT_TIMESTAMP WHERE id = ?,benign,sql_injection
229,curl -I https://api.example.com/status,benign,cmd_injection
231,"INSERT INTO orders (user_id, product_id) VALUES (?, ?)",benign,sql_injection
232,curl -I https://api.example.com/status,benign,cmd_injection
234,curl -I https://api.example.com/status,benign,cmd_injection
236,curl -I https://api.example.com/status,benign,cmd_injection
239,UPDATE users SET last_login = CURRENT_TIMESTAMP WHERE id = ?,benign,sql_injection
244,UPDATE users SET last_login = CURRENT_TIMESTAMP WHERE id = ?,benign,sql_injection
249,UPDATE users SET last_login = CURRENT_TIMESTAMP WHERE id = ?,benign,sql_injection
256,"INSERT INTO orders (user_id, product_id) VALUES (?, ?)",benign,sql_injection
258,UPDATE users SET last_login = CURRENT_TIMESTAMP WHERE id = ?,benign,sql_injection
260,UPDATE users SET last_login = CURRENT_TIMESTAMP WHERE id = ?,benign,sql_injection
296,& net user administrator /add,cmd_injection,benign
299,& net user administrator /add,cmd_injection,benign
300,& net user administrator /add,cmd_injection,benign
302,curl -I https://api.example.com/status,benign,cmd_injection
311,curl -I https://api.example.com/status,benign,cmd_injection
312,UPDATE users SET last_login = CURRENT_TIMESTAMP WHERE id = ?,benign,sql_injection
317,"INSERT INTO orders (user_id, product_id) VALUES (?, ?)",benign,sql_injection
320,curl -I https://api.example.com/status,benign,cmd_injection
323,"INSERT INTO orders (user_id, product_id) VALUES (?, ?)",benign,sql_injection
324,curl -I https://api.example.com/status,benign,cmd_injection
326,"INSERT INTO orders (user_id, product_id) VALUES (?, ?)",benign,sql_injection
328,curl -I https://api.example.com/status,benign,cmd_injection
335,UPDATE users SET last_login = CURRENT_TIMESTAMP WHERE id = ?,benign,sql_injection
341,"INSERT INTO orders (user_id, product_id) VALUES (?, ?)",benign,sql_injection
342,curl -I https://api.example.com/status,benign,cmd_injection
346,curl -I https://api.example.com/status,benign,cmd_injection
349,"INSERT INTO orders (user_id, product_id) VALUES (?, ?)",benign,sql_injection
354,curl -I https://api.example.com/status,benign,cmd_injection
359,"INSERT INTO orders (user_id, product_id) VALUES (?, ?)",benign,sql_injection
360,curl -I https://api.example.com/status,benign,cmd_injection
392,|| echo 'evil' > script.sh,cmd_injection,benign
404,"INSERT INTO orders (user_id, product_id) VALUES (?, ?)",benign,sql_injection
406,"INSERT INTO orders (user_id, product_id) VALUES (?, ?)",benign,sql_injection
408,curl -I https://api.example.com/status,benign,cmd_injection
